bulan,tahun,jenis,kode_trayek,trayek,jumlah_penumpang
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-12,TANAH ABANG- KAMPUNG BARU KEBAYORAN,16199
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-14,TANAH ABANG-MERUYA,42993
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-15,BULAK TURI - TANJUNG PRIOK,168002
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-16,PGC - CONDET,148957
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-17,PULOGADUNG - SENEN ,50003
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-18,KALIBATA - KUNINGAN,35826
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-19,PINANG RANTI - SETU,213021
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-20,LUBANG BUAYA - CAWANG UKI,97934
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-21,DWIKORA - CILILITAN,129081
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-22,DWIKORA - PENAS,3378
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-24,PULOGADUNG-PASAR SENEN,27001
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-25,PASAR REBO - KALISARI,68965
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-26,RAWAMANGUN-KALIMALANG,60744
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-27,PULOGEBANG - ROROTAN,80441
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-28,PASAR REBO - TAMAN WILADATIKA,79434
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-29,TANJUNG PRIOK - KELAPA GADING,137019
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-30,MERUYA - CITRALAND,198368
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-31,BLOK M - PONDOK LABU,108188
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-32,PETUKANGAN - LEBAK BULUS,125658
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-33,PULO GADUNG - KOTA,61742
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-37,CILILITAN - CONDET VIA KAYU MANIS,120507
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-45,LEBAK BULUS-RAGUNAN,78309
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-50,KALIDERES - PURIKEMBANGAN,35633
Maret,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-51,TAMAN KOTA - BUDI LUHUR,85194
Maret,2019,ANGKUTAN WISATA,JAK-58,ISLAMIC - ROROTAN,22806
Maret,2019,ANGKUTAN WISATA,JAK-59,RAWAMANGUN-RAWASENGON,84391
Maret,2019,ANGKUTAN WISATA,JAK-61,PULOGADUNG-CEMPAKA MAS,25353
Maret,2019,ANGKUTAN WISATA,BW1,HISTORY OF JAKARTA,122567
Maret,2019,ANGKUTAN WISATA,BW2,JAKARTA MODERN,57019
Maret,2019,ANGKUTAN WISATA,BW3,PENCAKAR LANGIT,40776
Maret,2019,ANGKUTAN WISATA,BW5,WISATA KALIJODO,30993
Maret,2019,ANGKUTAN WISATA,BW6,MAKAM MBAH PRIUK,3923
Maret,2019,ANGKUTAN WISATA,BW7,JAKARTA SHOPING MALL,9723
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,2E,RUSUN RAWA BEBEK - PAKIN,13941
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,2874
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,2H,RUSUN JATI RAWASARI - SENEN,4613
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,3A,RUSUN PESAKIH - KALIDERES,29417
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,3B,RUSUN FLAMBOYAN - KALIDERES,7584
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,3C,RUSUN KAPUK MUARA - PENJARINGAN,5
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2679
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,9F,RUSUN TAMBORA - PLUIT,645
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,10A,RUSUN MARUNDA - TANJUNG PRIOK,54691
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,902
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11B,RUSUN RAWA BEBEK - PENGGILINGAN,7239
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,26966
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11K,RUSUN KOMARUDIN - PENGGILINGAN,8345
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11M,RUSUN RAWA BEBEK - BUKIT DURI,38567
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11N,RUSUN CIPINANG MUARA - JATINEGARA,2921
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,2866
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7447
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12C,RUSUN WADUK PLUIT- PENJARINGAN,8807
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7467
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,26661
Maret,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12H,RUSUN PENJARINGAN - PENJARINGAN,4576
Maret,2019, ANGKUTAN UMUM LAINNYA ,TJC,TRANSJAKARTA CARES,3921
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA - BALAI KOTA,86
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ACARA MUI DKI MONAS,0
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PRAMUKA NAHDATUL ULAMA,0
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PKK CIBUBUR,0
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PAUD,0
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN RUSUN MARUNDA,108
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PAGUYUBAN LANSIA JAKSEL,112
Maret,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA - RAGUNAN,226
Maret,2019, ANGKUTAN UMUM LAINNYA ,,GRATIS GATE NON BRT,2853
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PNS DKI DAN PENSIUNAN PNS,4116
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS TENAGA KONTRAK DKI,19726
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENERIMA KJP,40072
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS KARYAWAN SWASTA TERTENTU,3305
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENGHUNI RUMAH SUSUN,25818
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS KTP KEPULAUAN SERIBU,863
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENERIMA RASKIN,1639
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS TNI/POLRI,0
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS VETERAN,0
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENYANDANG DISABILITAS,783
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS LANSIA,36526
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS MARBOT,16
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PAUD,6741
Maret,2019,LAMPIRAN LAYANAN GRATIS BRT,,GRATIS JUMANTIK,6493
April,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2207527
April,2019,BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),752528
April,2019,BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),91772
April,2019,BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),672542
April,2019,BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),866033
April,2019,BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),916055
April,2019,BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),882899
April,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),962541
April,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1347706
April,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),714008
April,2019,BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),262601
April,2019,BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),200059
April,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),660426
April,2019,ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,92834
April,2019,ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,59098
April,2019,ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,28968
April,2019,ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,50108
April,2019,ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,114099
April,2019,ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,53741
April,2019,ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,27028
April,2019,ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,33082
April,2019,ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,30444
April,2019,ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2096
April,2019,ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,33363
April,2019,ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,28725
April,2019,ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,22079
April,2019,ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,180099
April,2019,ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,14927
April,2019,ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,126685
April,2019,ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,4855
April,2019,ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,4682
April,2019,ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,4757
April,2019,ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,4951
April,2019,ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,30855
April,2019,ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,38476
April,2019,ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,62045
April,2019,ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET,251666
April,2019,ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,118439
April,2019,ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,8007
April,2019,ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,8738
April,2019,ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,11004
April,2019,ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,92905
April,2019,ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,72716
April,2019,ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,63315
April,2019,ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,10631
April,2019,ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,6408
April,2019,ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,90598
April,2019,ANGKUTAN UMUM INTEGRASI,8D,JOGLO - BLOK M,76844
April,2019,ANGKUTAN UMUM INTEGRASI,8E,BINTARO - BLOK M,48356
April,2019,ANGKUTAN UMUM INTEGRASI,8K,BATUSARI - TANAH ABANG,31531
April,2019,ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,108139
April,2019,ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,61785
April,2019,ANGKUTAN UMUM INTEGRASI,9H,CIPEDAK - BLOK M,52657
April,2019,ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,10304
April,2019,TRANSJABODETABEK,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),77757
April,2019,TRANSJABODETABEK,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,57327
April,2019,TRANSJABODETABEK,11T,PULO GEBANG - STASIUN CAKUNG,1023
April,2019,TRANSJABODETABEK,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,6355
April,2019,TRANSJABODETABEK,12A,KOTA - PELABUHAN KALIADEM,12804
April,2019,TRANSJABODETABEK,12B,PLUIT - STASIUN SENEN,29298
April,2019,TRANSJABODETABEK,12E,HISTORY OF JAKARTA EXPLORER,5789
April,2019,TRANSJABODETABEK,12K,ASEMKA EXPLORER,5952
April,2019,TRANSJABODETABEK,1Q,REMPOA - BLOK M,40476
April,2019,TRANSJABODETABEK,,CSW - PAKUBUWONO,13
April,2019,TRANSJABODETABEK,,CSW - KRAMTA PELA,9
April,2019,TRANSJABODETABEK,,CSW - WIJAYA,12
April,2019,TRANSJABODETABEK,B11,SUMMARECON BEKASI - TOSARI,57611
April,2019,TRANSJABODETABEK,B12,SUMMARECON BEKASI - TANJUNG PRIOK,3787
April,2019,TRANSJABODETABEK,B21,BEKASI TIMUR - GROGOL 2,74794
April,2019,TRANSJABODETABEK,B13,BEKASI BARAT - BLOK M,1669
April,2019,TRANSJABODETABEK,B14,BEKASI BARAT - KUNINGAN,12221
April,2019,TRANSJABODETABEK,B22,BEKASI TIMUR - JUANDA,47914
April,2019,TRANSJABODETABEK,B23,BEKASI TIMUR - TEBET,845
April,2019,TRANSJABODETABEK,B24,BEKASI TIMUR - KALIDERES,5084
April,2019,ANGKUTAN EKSEKUTIF ROYAL TRANS ,1K,CIBUBUR JUNCTION - BLOK M,11258
April,2019,ANGKUTAN EKSEKUTIF ROYAL TRANS ,1T,CIBUBUR - KOTA,7937
April,2019,TRANSJABODETABEK,6P,CIBUBUR - KUNINGAN,8564
April,2019,TRANSJABODETABEK,1U,TAMAN MINI - BALAI KOTA,222
April,2019,TRANSJABODETABEK,D31,CINERE - KUNINGAN,810
April,2019,TRANSJABODETABEK,S31,BINTARO - BLOK M VIA JORR,3879
April,2019,TRANSJABODETABEK,S12,BSD - BUNDERAN SENAYAN,4763
April,2019,TRANSJABODETABEK,D11,DEPOK - BKN,86741
April,2019,TRANSJABODETABEK,S11,BSD - GROGOL 2,10593
April,2019,TRANSJABODETABEK,S21,CIPUTAT - TOSARI,142157
April,2019,TRANSJABODETABEK,S22,CIPUTAT - KAMPUNG RAMBUTAN,96647
April,2019,TRANSJABODETABEK,T11,PORIS PLAWAD - BUNDARAN SENAYAN,200373
April,2019,TRANSJABODETABEK,T12,PORIS PLAWAD - JUANDA,71479
April,2019,TRANSJABODETABEK,7C,CIBUBUR - BKN,163816
April,2019,ANGKUTAN UMUM LAINNYA ,2B,HARAPAN INDAH - ASMI,88021
April,2019,ANGKUTAN UMUM LAINNYA ,S41,PONDOK CABE - TANAH ABANG,19263
April,2019,ANGKUTAN UMUM LAINNYA ,D21,JATIJAJAR - LEBAK BULUS,49217
April,2019,ANGKUTAN UMUM LAINNYA ,GR1,BUNDARAN SENAYAN - HARMONI (BUS GRATIS),346616
April,2019,ANGKUTAN UMUM LAINNYA ,GR2,TANAH ABANG EXPLORER,289405
April,2019,ANGKUTAN UMUM LAINNYA ,NC3,POLDA - GBK (VIA SCBD),24254
April,2019,ANGKUTAN UMUM LAINNYA ,,ROMBONGAN JIC-CIBUBUR (BERBAYAR),55
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-1,TANJUNG PRIOK-PLUMPANG,58337
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,55925
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-3,LEBAK BULUS - PONDOK LABU,53128
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-4,GROGOL - TUBAGUS ANGKE,611
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-5,SEMPER - ROROTAN,81507
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,72412
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-7,TANAH ABANG-TAWAKAL,69964
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-10,TANAH ABANG-KOTA,7358
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-11,TANAH ABANG-KEBAYORAN LAMA,29529
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-12,TANAH ABANG- KAMPUNG BARU KEBAYORAN,18217
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-14,TANAH ABANG-MERUYA,45261
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-15,BULAK TURI - TANJUNG PRIOK,159593
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-16,PGC - CONDET,130817
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-17,PULOGADUNG - SENEN ,42869
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-18,KALIBATA - KUNINGAN,34877
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-19,PINANG RANTI - SETU,193142
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-20,LUBANG BUAYA - CAWANG UKI,98835
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-21,DWIKORA - CILILITAN,119449
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-22,DWIKORA - PENAS,30581
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-24,PULOGADUNG-PASAR SENEN,47235
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-25,PASAR REBO - KALISARI,65306
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-26,RAWAMANGUN-KALIMALANG,60513
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-27,PULOGEBANG - ROROTAN,71503
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-28,PASAR REBO - TAMAN WILADATIKA,78013
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-29,TANJUNG PRIOK - KELAPA GADING,126032
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-30,MERUYA - CITRALAND,190083
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-31,BLOK M - PONDOK LABU,105397
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-32,PETUKANGAN - LEBAK BULUS,126628
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-33,PULO GADUNG - KOTA,64536
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-37,CILILITAN - CONDET VIA KAYU MANIS,113454
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-44,LENTENG ANGGUNG - ANDARA,12357
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-45,LEBAK BULUS-RAGUNAN,91575
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-50,KALIDERES - PURIKEMBANGAN,51962
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-51,TAMAN KOTA - BUDI LUHUR,98377
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-58,ISLAMIC - ROROTAN,60939
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-59,RAWAMANGUN-RAWASENGON,8798
April,2019, ANGKUTAN INTEGRASI BUS KECIL ,JAK-61,PULOGADUNG-CEMPAKA MAS,30322
April,2019,ANGKUTAN WISATA,BW1,SEJARAH JAKARTA,109483
April,2019,ANGKUTAN WISATA,BW2,JAKARTA MODERN,63613
April,2019,ANGKUTAN WISATA,BW3,PENCAKAR LANGIT,36135
April,2019,ANGKUTAN WISATA,BW5,WISATA KALIJODO,2111
April,2019,ANGKUTAN WISATA,BW6,MAKAM MBAH PRIUK,2374
April,2019,ANGKUTAN WISATA,BW7,JAKARTA BELANJA,94
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,2E,RUSUN RAWA BEBEK - PAKIN,14999
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,26413
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,2H,RUSUN JATI RAWASARI - SENEN,43
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,3A,RUSUN PESAKIH - KALIDERES,28072
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,3B,RUSUN FLAMBOYAN - KALIDERES,7457
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,3C,RUSUN KAPUK MUARA - PENJARINGAN,6268
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2667
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,9F,RUSUN TAMBORA - PLUIT,6333
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,10A,RUSUN MARUNDA - TANJUNG PRIOK,48037
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,8657
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6666
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,25414
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11K,RUSUN KOMARUDIN - PENGGILINGAN,8432
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11M,RUSUN RAWA BEBEK - BUKIT DURI,34202
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11N,RUSUN CIPINANG MUARA - JATINEGARA,2979
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3185
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7406
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12C,RUSUN WADUK PLUIT- PENJARINGAN,9074
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7279
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,2537
April,2019,ANGKUTAN UMUM INTEGRASI RUSUN,12H,RUSUN PENJARINGAN - PENJARINGAN,4572
April,2019, ANGKUTAN UMUM LAINNYA ,TJC,TRANSJAKARTA CARES,3519
April,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA - BALAI KOTA,0
April,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA - MOI,0
April,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PAGUYUBAN LANSIA KOTAMADYA JAKSEL,0
April,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA-RAGUNAN,0
April,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN DPR MRT,195
April,2019, ANGKUTAN UMUM LAINNYA ,,ROMBONGAN INDO TEMPO DOELOE,64
April,2019, ANGKUTAN UMUM LAINNYA ,R45,ROMBONGAN IHF TROFI TAHUN 2019,343
April,2019,LAMPIRAN LAYANAN GRATIS BRT,G1,GRATIS GATE NON BRT,2706
April,2019,LAMPIRAN LAYANAN GRATIS BRT,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,43157
April,2019,LAMPIRAN LAYANAN GRATIS BRT,TKD,GRATIS TENAGA KONTRAK DKI,21437
April,2019,LAMPIRAN LAYANAN GRATIS BRT,KJP,GRATIS PENERIMA KJP,40663
April,2019,LAMPIRAN LAYANAN GRATIS BRT,KST,GRATIS KARYAWAN SWASTA TERTENTU,3984
April,2019,LAMPIRAN LAYANAN GRATIS BRT,RSN,GRATIS PENGHUNI RUMAH SUSUN,24184
April,2019,LAMPIRAN LAYANAN GRATIS BRT,PAS,GRATIS KTP KEPULAUAN SERIBU,548
April,2019,LAMPIRAN LAYANAN GRATIS BRT,PBS,GRATIS PENERIMA RASKIN,1415
April,2019,LAMPIRAN LAYANAN GRATIS BRT,TNI,GRATIS TNI/POLRI,0
April,2019,LAMPIRAN LAYANAN GRATIS BRT,VET,GRATIS VETERAN,0
April,2019,LAMPIRAN LAYANAN GRATIS BRT,KPD,GRATIS PENYANDANG DISABILITAS,717
April,2019,LAMPIRAN LAYANAN GRATIS BRT,PLU,GRATIS LANSIA,341904
April,2019,LAMPIRAN LAYANAN GRATIS BRT,MAR,GRATIS MARBOT,20
April,2019,LAMPIRAN LAYANAN GRATIS BRT,PAUD,GRATIS PAUD,6677
April,2019,LAMPIRAN LAYANAN GRATIS BRT,JMT,GRATIS JUMANTIK,6481
Mei ,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2031443
Mei ,2019,BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),785449
Mei ,2019,BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),928185
Mei ,2019,BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),698444
Mei ,2019,BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),926056
Mei ,2019,BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),898688
Mei ,2019,BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),913161
Mei ,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),976372
Mei ,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1382629
Mei ,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),751396
Mei ,2019,BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),285389
